FBNUMMER;Erfahrung;Praef_Anleitung;ALTER_B;Geschlecht;Abschluss;Aufgabenstellung;Repraesentation;Effektivitaet;Mentale_Anstrengung;Zufriedenheit;Interpretation;Paarvgl;Paarvgl_typ
1;1;T;28;1;4;Stapeln;Text;60;100;1,47;0;B;Platzieren
1;1;T;28;1;4;Sortieren;Bild;100;20;4,8;2;B;Platzieren
1;1;T;28;1;4;Platzieren;Diagramm;100;62;3,2;0;B;Platzieren
2;1;B;31;1;4;Stapeln;Text;100;76;3,83;0;B;Platzieren
2;1;B;31;1;4;Sortieren;Bild;100;20;5;0;B;Platzieren
2;1;B;31;1;4;Platzieren;Diagramm;100;77;3,9;0;B;Platzieren
3;1;B;26;1;4;Platzieren;Text;100;6;4,73;0;B;Platzieren
3;1;B;26;1;4;Stapeln;Bild;100;30;4,53;2;B;Platzieren
3;1;B;26;1;4;Sortieren;Diagramm;100;14;4,73;0;B;Platzieren
4;1;B;29;2;4;Sortieren;Text;100;20;4,73;0;B;Platzieren
4;1;B;29;2;4;Platzieren;Bild;100;16;4,87;0;B;Platzieren
4;1;B;29;2;4;Stapeln;Diagramm;100;20;4,87;0;B;Platzieren
5;1;S;27;1;4;Platzieren;Text;100;100;4;0;S;Platzieren
5;1;S;27;1;4;Stapeln;Bild;100;81;4,47;0;S;Platzieren
5;1;S;27;1;4;Sortieren;Diagramm;100;72;4,8;0;S;Platzieren
6;0;B;39;2;2;Platzieren;Text;80;40;4,63;0;T;Platzieren
6;0;B;39;2;2;Stapeln;Bild;100;30;5;0;T;Platzieren
6;0;B;39;2;2;Sortieren;Diagramm;60;48;4,67;0;T;Platzieren
7;0;B;61;2;4;Platzieren;Text;100;6;4,87;0;S;Platzieren
7;0;B;61;2;4;Stapeln;Bild;100;20;4,37;2;S;Platzieren
7;0;B;61;2;4;Sortieren;Diagramm;100;10;4,83;0;S;Platzieren
8;0;B;32;1;4;Sortieren;Text;100;20;4,53;0;B;Platzieren
8;0;B;32;1;4;Platzieren;Bild;60;20;4,37;1;B;Platzieren
8;0;B;32;1;4;Stapeln;Diagramm;100;74;3,03;0;B;Platzieren
9;0;B;25;2;3;Sortieren;Text;100;20;4,53;0;T;Platzieren
9;0;B;25;2;3;Platzieren;Bild;100;40;2,93;1;T;Platzieren
9;0;B;25;2;3;Stapeln;Diagramm;100;40;4,33;0;T;Platzieren
10;1;S;29;2;4;Stapeln;Text;100;44;3,73;0;T;Platzieren
10;1;S;29;2;4;Sortieren;Bild;60;14;4,53;0;T;Platzieren
10;1;S;29;2;4;Platzieren;Diagramm;100;4;5;0;T;Platzieren
11;1;B;28;1;4;Stapeln;Text;100;20;4,4;0;T;Platzieren
11;1;B;28;1;4;Sortieren;Bild;100;10;4,73;0;T;Platzieren
11;1;B;28;1;4;Platzieren;Diagramm;100;40;3,83;0;T;Platzieren
12;1;S;35;2;4;Stapeln;Text;100;10;2,97;0;T;Platzieren
12;1;S;35;2;4;Sortieren;Bild;100;0;4,8;2;T;Platzieren
12;1;S;35;2;4;Platzieren;Diagramm;100;40;3,37;0;T;Platzieren
13;1;S;44;1;2;Platzieren;Text;40;80;3;1;B;Platzieren
13;1;S;44;1;2;Stapeln;Bild;100;80;4,87;4;B;Platzieren
13;1;S;44;1;2;Sortieren;Diagramm;100;80;4,87;0;B;Platzieren
14;1;B;34;2;4;Sortieren;Text;100;2;5;0;B;Platzieren
14;1;B;34;2;4;Platzieren;Bild;100;20;4,67;0;B;Platzieren
14;1;B;34;2;4;Stapeln;Diagramm;100;40;4,23;0;B;Platzieren
15;0;B;28;2;3;Stapeln;Text;60;90;2,2;0;B;Platzieren
15;0;B;28;2;3;Sortieren;Bild;100;60;4,47;0;B;Platzieren
15;0;B;28;2;3;Platzieren;Diagramm;100;80;3,73;0;B;Platzieren
16;0;S;29;1;4;Stapeln;Text;100;60;3,67;0;T;Platzieren
16;0;S;29;1;4;Sortieren;Bild;100;20;5;0;T;Platzieren
16;0;S;29;1;4;Platzieren;Diagramm;100;60;4,4;0;T;Platzieren
17;0;T;31;2;2;Platzieren;Text;100;20;3,67;0;B;Platzieren
17;0;T;31;2;2;Stapeln;Bild;100;10;4,13;4;B;Platzieren
17;0;T;31;2;2;Sortieren;Diagramm;100;8;5;0;B;Platzieren
18;0;B;34;1;4;Stapeln;Text;100;74;2,63;0;S;Platzieren
18;0;B;34;1;4;Sortieren;Bild;100;2;4,87;2;S;Platzieren
18;0;B;34;1;4;Platzieren;Diagramm;60;0;5;0;S;Platzieren
19;1;S;32;1;4;Sortieren;Text;100;20;3,63;0;B;Platzieren
19;1;S;32;1;4;Platzieren;Bild;100;30;4,4;0;B;Platzieren
19;1;S;32;1;4;Stapeln;Diagramm;100;36;4,67;0;B;Platzieren
20;1;S;23;2;4;Platzieren;Text;100;4;4,23;0;S;Platzieren
20;1;S;23;2;4;Stapeln;Bild;100;20;4,5;2;S;Platzieren
20;1;S;23;2;4;Sortieren;Diagramm;100;2;5;0;S;Platzieren
21;1;S;32;1;4;Sortieren;Text;100;16;4,8;0;T;Platzieren
21;1;S;32;1;4;Platzieren;Bild;100;32;4,53;0;T;Platzieren
21;1;S;32;1;4;Stapeln;Diagramm;100;20;4,73;0;T;Platzieren
22;1;B;28;2;4;Stapeln;Text;20;140;2,13;2;T;Platzieren
22;1;B;28;2;4;Sortieren;Bild;100;40;4,87;1;T;Platzieren
22;1;B;28;2;4;Platzieren;Diagramm;60;60;4,4;0;T;Platzieren
23;0;B;34;1;2;Sortieren;Text;100;16;4,93;0;T;Platzieren
23;0;B;34;1;2;Platzieren;Bild;100;52;4,8;0;T;Platzieren
23;0;B;34;1;2;Stapeln;Diagramm;100;25;5;1;T;Platzieren
24;0;T;49;2;2;Sortieren;Text;100;28;4,37;0;S;Platzieren
24;0;T;49;2;2;Platzieren;Bild;80;37;3,4;1;S;Platzieren
24;0;T;49;2;2;Stapeln;Diagramm;100;23;4,87;0;S;Platzieren
25;0;B;52;1;2;Platzieren;Bild;40;76;2,67;1;B;Stapeln
25;0;B;52;1;2;Sortieren;Diagramm;60;20;4,47;0;B;Stapeln
25;0;B;52;1;2;Stapeln;Text;40;158;2;1;B;Stapeln
